data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
7454355,148,CHA1171,1171,20201226,2020,1,Battles,Armed clash,Tama Ethnic Militia (Chad),,4,Zaghawa Ethnic Militia (Chad),,4,44,Middle Africa,Chad,Wadi Fira,Dar Tama,Birak,Birak,14.2167,22.4167,2,Alwihda (Chad),National,"On 26 December 2020, Tama ethnic militia and Zaghawa ethnic militia clashed with heavy weapons in Tama village near Birak (Wadi Fira, Dar Tama). Ten people were reportedly killed and twelve others injured.",10,1610409629,TCD
7453766,148,CHA1170,1170,20201224,2020,1,Battles,Armed clash,Unidentified Communal Militia (Chad),Pastoralists (Chad),4,Unidentified Communal Militia (Chad),Farmers (Chad),4,44,Middle Africa,Chad,Mayo-Kebbi Ouest,Mayo-Dallah,Gagal,Gagal,9.0221,15.1355,2,Alwihda (Chad); BBC News,National-International,"On 24 December 2020, pastoralists and farmers clashed in Domoteguede and Yamba villages, situated in Gagal canton (Mayo-Kebbi Ouest, Mayo-Dallah). Two people were reportedly killed and ten were injured.",2,1610409618,TCD
7453765,148,CHA1169,1169,20201223,2020,1,Protests,Protest with intervention,Protesters (Chad),Transformers,6,Police Forces of Chad (1990-),,1,16,Middle Africa,Chad,N'Djamena,N'Djamena,Ndjamena,NDjamena,12.1085,15.0482,1,Journal du Tchad; Alwihda (Chad),National,"On 23 December 2020, the Chadian police dispersed with tear gas a march held by the Transformers opposition group in N'Djamena (NDjamena). Protesters were demonstrating against President Idriss Deby. [size=no report]",0,1610409617,TCD
7455576,148,CHA1168,1168,20201223,2020,1,Battles,Armed clash,Salamat Ethnic Militia (Chad),,4,Bornou Ethnic Militia (Chad),,4,44,Middle Africa,Chad,Sila,Kimiti,Koukou-Angarana,Koukou Angarana,12.0028,21.661,2,Tchadinfos,National,"On 23 December 2020, Salamat ethnic militia and Bournou ethnic militia clashed in Kodomoro village, in Koukou Angarana department (Kimiti, Sila). Two people were reportedly killed and ten injured.",2,1610409644,TCD
7454352,148,CHA1167,1167,20201214,2020,1,Riots,Mob violence,Rioters (Chad),,5,Police Forces of Chad (1990-),Civilians (Chad); Government of Chad (1990-),1,15,Middle Africa,Chad,Tandjile,Tandjile Est,Lai,Lai,9.3972,16.3007,1,Alwihda (Chad),National,"On 14 December 2020, a crowd attacked the residence of the prefect of Tandjile Centre in Lai (Tandjile, Tandjile Centre), burning two police vehicles and abandoning a dead body of an unidentified individual in the residence. This came after the eruption of deadly clashes between pastoralists and farmers in the region over a land dispute. [size=no report]",0,1610409629,TCD
7453764,148,CHA1166,1166,20201213,2020,1,Battles,Armed clash,Unidentified Communal Militia (Chad),Pastoralists (Chad),4,Unidentified Communal Militia (Chad),Farmers (Chad),4,44,Middle Africa,Chad,Tandjile,Tandjile Ouest,Delbian,Delbian,9.1904,16.1941,2,Tchadinfos; Alwihda (Chad),National,"On 13 December 2020, pastoralists and farmers clashed in Baoul and Bere villages, situated in the canton of Delbian (Tandjile, Tandjile Est). 7 people were reportedly killed and 5 injured.",7,1610409617,TCD
7453763,148,CHA1165,1165,20201212,2020,1,Battles,Armed clash,Salmanie Communal Militia (Chad),Pastoralists (Chad); Arab Ethnic Group (Chad),4,Bilala Communal Militia (Chad),Farmers (Chad); Arab Ethnic Group (Chad),4,44,Middle Africa,Chad,Batha,Batha Ouest,Ati,Ati,13.2125,18.3397,1,Undisclosed Source; Alwihda (Chad); BBC News; AFP,Local partner-Other,"On 12 December 2020, Bilala-Arab pastoralists and Arab Salmanie farmers clashed in Achiguek village, situated 75 km east of Ati (Batha, Batha Ouest). 25 people were reportedly killed.",25,1610409617,TCD
7455820,148,CHA1164,1164,20201211,2020,1,Explosions/Remote violence,Remote explosive/landmine/IED,Islamic State (West Africa),,2,Civilians (Chad),,7,27,Middle Africa,Chad,Lac,Mamdi,Bol,Ngouboua,13.528,14.0174,2,Undisclosed Source,Local partner-Other,"On 11 December 2020, presumed ISWAP militants conducted an IED attack against a small civilian boat at the lakeside near Ngouboua (Lac, Mamdi). One person was reportedly injured.",0,1610409646,TCD
7395444,148,CHA1160,1160,20201211,2020,1,Protests,Protest with intervention,Protesters (Chad),Transformers,6,Police Forces of Chad (1990-),,1,16,Middle Africa,Chad,N'Djamena,N'Djamena,Ndjamena,NDjamena,12.1085,15.0482,1,Alwihda (Chad),National,"On 11 December 2020, the Chadian police fired tear gas and dispersed a protest march held by the Transformers movement in Ndjamena (N'Djamena). Protesters were starting a movement of civil disobedience in Ndjamena against the Government of Idriss Deby. The leader of the movement, Succes Masra, was arrested by the police. [size=no report]",0,1607976270,TCD
7453762,148,CHA1159,1159,20201210,2020,1,Battles,Armed clash,Unidentified Communal Militia (Chad),Pastoralists (Chad),4,Unidentified Communal Militia (Chad),Farmers (Chad),4,44,Middle Africa,Chad,Ouaddai,Ouara,Kachimel-Abeche,Abeche,13.829,20.832,2,Tchadinfos; GardaWorld; Alwihda (Chad),National-Regional,"On 10 December 2020, pastoralists and farmers clashed in Dourrene village, situated 20 km east of Abeche (Mayo-Kebbi Est, Mano Boneye). 12 people were reportedly killed.",12,1610409617,TCD
