data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction
7454395,231,ETH5841,5841,20201231,2020,1,Battles,Armed clash,Military Forces of Ethiopia (2018-),Police Forces of Ethiopia (2018-),1,TPLF: Tigray Peoples Liberation Front,,3,13
7455287,231,ETH5809,5809,20201229,2020,1,Violence against civilians,Attack,Police Forces of Ethiopia (2018-) Prison Guards,,1,Civilians (Ethiopia),Prisoners (Ethiopia),7,17
7455294,231,ETH5808,5808,20201229,2020,1,Violence against civilians,Attack,Military Forces of Ethiopia (2018-),,1,Civilians (Ethiopia),Students (Ethiopia),7,17
7454202,231,ETH5840,5840,20201229,2020,1,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Ethiopia),,3,Civilians (Ethiopia),,7,37
7454394,231,ETH5839,5839,20201228,2020,1,Battles,Armed clash,Military Forces of Ethiopia (2018-),,1,Unidentified Ethnic Militia (Ethiopia),,4,14
7454427,231,ETH5807,5807,20201228,2020,1,Battles,Armed clash,Military Forces of Ethiopia (2018-),,1,OLF: Oromo Liberation Front (Shane Splinter Faction),,2,12
7454201,231,ETH5838,5838,20201227,2020,1,Battles,Armed clash,Police Forces of Ethiopia (2018-) Afar Special Forces,,1,Police Forces of Ethiopia (2018-) Somali Regional Special Forces,,1,11
7454203,231,ETH5837,5837,20201226,2020,1,Battles,Armed clash,Somali Ethnic Militia (Ethiopia),,4,Afar Ethnic Militia (Ethiopia),Police Forces of Ethiopia (2018-) Afar Special Forces,4,44
7455932,231,ETH5836,5836,20201225,2020,1,Violence against civilians,Attack,Gumuz Ethnic Militia (Ethiopia),,4,Civilians (Ethiopia),Amhara Ethnic Group (Ethiopia); Oromo Ethnic Group (Ethiopia); Shinashan Ethnic Group (Ethiopia); Farmers (Ethiopia),7,47
7455997,231,ETH5806,5806,20201224,2020,1,Battles,Armed clash,Military Forces of Ethiopia (2018-),,1,Unidentified Ethnic Militia (Ethiopia),,4,14
7455911,231,ETH5834,5834,20201223,2020,1,Battles,Armed clash,Oromo Ethnic Militia (Ethiopia),,4,Afar Ethnic Militia (Ethiopia),,4,44
7454390,231,ETH5835,5835,20201223,2020,1,Violence against civilians,Attack,Unidentified Ethnic Militia (Ethiopia),,4,Civilians (Ethiopia),Amhara Ethnic Group (Ethiopia); Oromo Ethnic Group (Ethiopia); Shinashan Ethnic Group (Ethiopia); Farmers (Ethiopia),7,47
7454392,231,ETH5833,5833,20201220,2020,1,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Ethiopia),,3,Civilians (Ethiopia),,7,37
7455924,231,ETH5832,5832,20201219,2020,2,Strategic developments,Arrests,Police Forces of Ethiopia (2018-) Oromo Regional Special Forces,,1,OLF: Oromo Liberation Front (Shane Splinter Faction),,2,12
7455929,231,ETH5831,5831,20201219,2020,1,Battles,Armed clash,Unidentified Ethnic Militia (Ethiopia),,4,Police Forces of Ethiopia (2018-) Amhara Regional Special Forces,Amhara Ethnic Militia (Ethiopia),1,14
7454204,231,ETH5830,5830,20201217,2020,1,Violence against civilians,Attack,Unidentified Ethnic Militia (Ethiopia),,4,Civilians (Ethiopia),Amhara Ethnic Group (Ethiopia),7,47
7454205,231,ETH5829,5829,20201217,2020,1,Violence against civilians,Attack,Unidentified Ethnic Militia (Ethiopia),,4,Civilians (Ethiopia),Amhara Ethnic Group (Ethiopia),7,47
7455919,231,ETH5828,5828,20201215,2020,2,Violence against civilians,Attack,OLF: Oromo Liberation Front (Shane Splinter Faction),,2,Civilians (Ethiopia),Oromo Ethnic Group (Ethiopia),7,27
7455935,231,ETH5827,5827,20201215,2020,2,Violence against civilians,Attack,OLF: Oromo Liberation Front (Shane Splinter Faction),,2,Civilians (Ethiopia),Amhara Ethnic Group (Ethiopia),7,27
7454208,231,ETH5805,5805,20201214,2020,2,Battles,Armed clash,Military Forces of Ethiopia (2018-),,1,TPLF: Tigray Peoples Liberation Front,,3,13
7454212,231,ETH5804,5804,20201214,2020,2,Violence against civilians,Attack,Military Forces of Ethiopia (2018-),Military Forces of Eritrea (1993-),1,Civilians (Ethiopia),,7,17
7455288,231,ETH5825,5825,20201214,2020,1,Violence against civilians,Attack,Police Forces of Ethiopia (2018-) Oromo Regional Special Forces,,1,Civilians (Ethiopia),,7,17
7455289,231,ETH5826,5826,20201214,2020,1,Violence against civilians,Attack,Police Forces of Ethiopia (2018-) Oromo Regional Special Forces,,1,Civilians (Ethiopia),,7,17
7395696,231,ETH5788,5788,20201212,2020,1,Violence against civilians,Attack,Police Forces of Ethiopia (2018-),,1,Civilians (Ethiopia),Students (Ethiopia),7,17
7395695,231,ETH5787,5787,20201210,2020,1,Violence against civilians,Attack,Police Forces of Ethiopia (2018-),,1,Civilians (Ethiopia),,7,17
