data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
7450628,368,IRQ28545,28545,31-Dec-20,2020,1,Strategic developments,Disrupted weapons use,Military Forces of Iraq (2020-),,1,Islamic State (Iraq),,2,12,Middle East,Iraq,Anbar,Ramadi,,At Tarabshah,33.5369,43.1077,1,Al Maloomah,National,"Defusal: On 31 December 2020, the Anbar Operations Command seized and destroyed 83 C4 explosives and unspecified number of old explosives belonging to IS in At Tarabshah, Ramadi district, Anbar province. No reported clashes.",0,1610397232,IRQ
7450639,368,IRQ28573,28573,31-Dec-20,2020,1,Strategic developments,Looting/property destruction,Unidentified Armed Group (Iraq),,3,Civilians (Iraq),,7,37,Middle East,Iraq,Wassit,Kut,,Kut,32.5056,45.8247,1,Al Mirbad,National,"Property destruction: On 31 December 2020, unknown militants detonated a concussion device - reported as sound bomb - under a civilian vehicle in Dur al Amal in Kut city, Wassit province. Material damages only were reported. No fatalities or injuries occurred.",0,1610397232,IRQ
7450645,368,IRQ28410,28410,31-Dec-20,2020,1,Violence against civilians,Abduction/forced disappearance,Islamic State (Iraq),,2,Civilians (Iraq),Labour Group (Iraq),7,27,Middle East,Iraq,Anbar,Ar Rutba,,Ar Rahhaliyah,32.7659,43.3911,2,Al Mirbad,National,"On 31 December 2020, IS fighters abducted 5 factory workers in the Asila area, on the road to Ar Rahhaliyah subdistrict, Ar Ruthba district, Anbar province. Iraqi security forces freed 4 after an operation, but no information on the 5th person. No injuries or fatalities occurred.",0,1610397232,IRQ
7456805,368,IRQ28854,28854,31-Dec-20,2020,1,Explosions/Remote violence,Air/drone strike,Military Forces of Turkey (2016-),,8,PKK: Kurdistan Workers Party,,2,28,Middle East,Iraq,Erbil,Choman,,Silsilat Jibal Qandil,36.5171,45.0199,2,People's Defense Forces; ANF News,Other-International,"On 31 December 2020, Turkish army warplanes carried out airstrikes against PKK forces in Tutme, Bepalan, Sile and Golgamis villages and Casusan hill area (Kurdish names) in Kandil mountain area (Silsilat Jibal Qandil) of Erbil, Northern Iraq. Source reported that no casualties occurred in the attacks.",0,1610465439,IRQ
7450175,368,IRQ28442,28442,31-Dec-20,2020,2,Explosions/Remote violence,Air/drone strike,Military Forces of Turkey (2016-),,8,PKK: Kurdistan Workers Party,,2,28,Middle East,Iraq,Dahuk,Zakho,,Haftanin,37.3128,43.0203,2,Takvim; Sozcu; Anadolu Agency; TRT Haber,Regional,"Around 31 December 2020 (as reported), total 10 PKK militants were killed or injured in the airstrikes carried out by Turkish warplanes in Metina and Haftanin regions of Amadiya district, Dahuk. One event for each location (total 2 events) coded.",0,1610397227,IRQ
7450176,368,IRQ28443,28443,31-Dec-20,2020,2,Explosions/Remote violence,Air/drone strike,Military Forces of Turkey (2016-),,8,PKK: Kurdistan Workers Party,,2,28,Middle East,Iraq,Dahuk,Amedi,,Metina,37.1683,43.2709,2,TRT Haber; Anadolu Agency; Sozcu; Takvim,Regional,"Around 31 December 2020 (as reported), total 10 PKK militants were killed or injured in the airstrikes carried out by Turkish warplanes in Metina and Haftanin regions of Amadiya district, Dahuk. One event for each location (total 2 events) coded.",0,1610397227,IRQ
7450964,368,IRQ28521,28521,31-Dec-20,2020,1,Violence against civilians,Attack,Unidentified Armed Group (Iraq),,3,Civilians (Iraq),Government of Iraq (2020-),7,37,Middle East,Iraq,Ninewa,Mosul,,Badush,36.4167,42.9649,1,National Iraqi News Agency,National,"On 31 December 2020, unknown gunmen assassinated the local mukhtar (mayor) of Badush village, Mosul district, Ninewa.",1,1610397236,IRQ
7450966,368,IRQ28773,28773,31-Dec-20,2020,1,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Iraq),,3,Civilians (Iraq),Labour Group (Iraq); Military Forces of the United States (2017-); Global Coalition Against Daesh,7,37,Middle East,Iraq,Basrah,Al-Zubair,,Safwan,30.1165,47.7164,3,National Iraqi News Agency,National,"On 31 December 2020, unknown militants detonated a roadside IED targeting a convoy carrying logistical materials for the US belonging to a contractor (Iraqi company and drivers) for the Global Coalition near Jraischan, Kuwait, on the Kuwaiti-Iraqi border. No fatalities or injuries. (Coded as Safwan, Al-Zubair district, Bashra province at GP3)",0,1610397236,IRQ
7450969,368,IRQ28577,28577,31-Dec-20,2020,1,Strategic developments,Other,Police Forces of Iraq (2020-),,1,Civilians (Iraq),Journalists (Iraq),7,17,Middle East,Iraq,Ninewa,Mosul,,Mosul,36.335,43.1189,1,National Iraqi News Agency,National,"Other: On 31 December 2020, Iraqi police shutdown 5 broadcasting centers in Mosul City, Ninewah province.",0,1610397236,IRQ
7450757,368,IRQ28766,28766,31-Dec-20,2020,1,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Iraq),,3,Civilians (Iraq),Labour Group (Iraq); Global Coalition Against Daesh,7,37,Middle East,Iraq,Baghdad,Mahmudiya,,Al Yusufiyah,33.0731,44.2455,1,Al Sumaria TV,National,"On 31 December 2020, unknown militants detonated a roadside IED targeting a logistical truck of the Global Coalition Against Daesh in Al Yusufiyah, Mahmudiya district, Baghdad province. The truck was operated by Iraqi contractors. No injuries or fatalities occurred.",0,1610397233,IRQ
