data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
7455554,404,KEN7622,7622,2020-12-31,2020,1,Battles,Armed clash,Unidentified Armed Group (Kenya),,3,Police Forces of Kenya (2013-),,1,13,Eastern Africa,Kenya,Baringo,Baringo South,Marigat,Chemoe,0.3167,35.8833,1,Star (Kenya),National,"On 31 December 2020, unidentified gunmen ambushed police forces (Anti-Stock Theft Unit ) as they collected firewood in Sang'orok on the border of Baringo North and Tiaty sub counties in Chemoe village (Baringo South, Baringo). One police officer was killed and others injured.",1,1610409643,KEN
7455555,404,KEN7621,7621,2020-12-30,2020,1,Explosions/Remote violence,Remote explosive/landmine/IED,Al Shabaab,,2,Civilians (Kenya),Health Workers (Kenya),7,27,Eastern Africa,Kenya,Mandera,Mandera South,Elwak South,El Wak,2.8094,40.9358,2,Star (Kenya),National,"On 30 December 2020, an IED by Al shabaab militants, targeting an ambulance with pregnant woman, detonated in the vicinity of El wak town (Mandera South, Mandera). The explosion killed one person. The ambulance was on the way to El wak referral hospital when it came under attack.",1,1610409643,KEN
7454615,404,KEN7620,7620,2020-12-27,2020,1,Battles,Armed clash,Military Forces of Kenya (2013-),,1,Al Shabaab,,2,12,Eastern Africa,Kenya,Garissa,Ijara,Ijara,Boni National Reserve,-1.5394,41.3314,1,Daily Nation (Kenya),National,"On 27 December 2020, Kenya defense forces (KDF) soldiers attacked an Al Shabaab militants camp in Boni National Reserve (Ijara, Garissa). Four militants were killed and their hideout was destroyed.",4,1610409633,KEN
7454609,404,KEN7619,7619,2020-12-23,2020,1,Protests,Peaceful protest,Protesters (Kenya),,6,,,0,60,Eastern Africa,Kenya,Kisii,Nyaribari Chache,Kisii Central,Kisii,-0.6833,34.7667,1,Daily Nation (Kenya),National,"On 23 December 2020, hundreds of young men and women protested and demanded justice following the death local phone technician (separately coded) at the hands of police officers in Kisii town (Nyaribari Chache, Kisii). The protesters wore red T-shirts inscribed with the words ''stop killing the youth''. [size=hundreds]",0,1610409632,KEN
7454611,404,KEN7618,7618,2020-12-21,2020,2,Violence against civilians,Attack,Al Shabaab,,2,Civilians (Kenya),Government of Kenya (2013-),7,27,Eastern Africa,Kenya,Wajir,Wajir East,Township,Khorof Harar,2.202,40.754,2,Daily Nation (Kenya),National,"Around 21 December 2020 (as reported), the decapitated body of a chief who was abducted along with four other people by Al Shabaab militants (previously coded) on 18 January was found along the Chinese cutline between Koton and Khorof Harar town (Wajir East, Wajir).",1,1610409633,KEN
7454610,404,KEN7617,7617,2020-12-20,2020,1,Battles,Armed clash,Al Shabaab,,2,Police Forces of Kenya (2013-),,1,12,Eastern Africa,Kenya,Lamu,Lamu West,Witu,Nyangoro,-2.3287,40.3231,1,Daily Nation (Kenya),National,"On 20 December 2020, Al Shabaab militants ambushed a police vehicle (Border Patrol Unit - BPU) escorting cars from Lamu along Lamu-Gamba road in Nyangoro town (Lamu West, Lamu). No fatalities and/or injuries reported.",0,1610409632,KEN
7454607,404,KEN7615,7615,2020-12-19,2020,1,Violence against civilians,Attack,Police Forces of Kenya (2013-),,1,Civilians (Kenya),Labour Group (Kenya),7,17,Eastern Africa,Kenya,Kisii,Nyaribari Chache,Kisii Central,Kisii,-0.6833,34.7667,1,Daily Nation (Kenya),National,"On 19 December 2020, a police officer enforcing the national coronavirus curfew shot and killed a local phone technician in Kisii town (Nyaribari Chache, Kisii).",1,1610409632,KEN
7454612,404,KEN7616,7616,2020-12-19,2020,1,Protests,Peaceful protest,Protesters (Kenya),,6,,,0,60,Eastern Africa,Kenya,Nakuru,Naivasha,Lake View,Naivasha,-0.7202,36.4285,2,Daily Nation (Kenya),National,"On 19 December 2020, local residents protested and demanded action over the bad state of roads in Kamore village near Naivasha town (Naivasha, Nakuru). The protesters accused both the county and national governments of neglecting them for years. [size=no report]",0,1610409633,KEN
7454608,404,KEN7613,7613,2020-12-18,2020,1,Violence against civilians,Abduction/forced disappearance,Al Shabaab,,2,Civilians (Kenya),Government of Kenya (2013-),7,27,Eastern Africa,Kenya,Wajir,Wajir East,Township,Khorof Harar,2.202,40.754,2,Daily Nation (Kenya),National,"On 18 December 2020, Al Shabaab militants abducted a chief and four other people from Gumerey village center near Khorof Harar town (Wajir East, Wajir). The group entered the center and ordered residents to switch off their phones before lecturing them.",0,1610409632,KEN
7454617,404,KEN7614,7614,2020-12-18,2020,1,Strategic developments,Looting/property destruction,Al Shabaab,,2,Civilians (Kenya),,7,27,Eastern Africa,Kenya,Mandera,Lafey,Lafey,Wargadud,3.1863,40.8677,2,Daily Nation (Kenya),National,"Property destruction: On 18 December 2020, suspected Al Shabaab militants destroyed a Safaricom mast in Elele village near Wargadud town (Lafey, Mandera). No fatalities and/or injuries reported.",0,1610409633,KEN
