data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
7454458,508,MZM2021,2021,20201231,2020,1,Battles,Armed clash,Islamist Militia (Mozambique),,3,Military Forces of Mozambique (1990-),,1,13,Eastern Africa,Mozambique,Cabo Delgado,Palma,Palma,Cabo Afungi,-10.8308,40.6177,2,Cabo Ligado,Local partner-Other,"On 31 December 2020, Mozambican Defense and Security Forces clashed with members of an Islamist militia around Cabo Afungi (Palma, Cabo Delgado). No fatalities and/or injuries reported.",0,1610409631,MOZ
7453956,508,MZM1995,1995,20201229,2020,1,Battles,Armed clash,Islamist Militia (Mozambique),,3,Military Forces of Mozambique (1990-),,1,13,Eastern Africa,Mozambique,Cabo Delgado,Palma,Palma,Monjane,-10.9027,40.4921,1,Zitamar; VOA; Cabo Ligado; Club Mozambique; Carta de Mocambique,Local partner-Other,"On 29 December 2020, Mozambican Defense and Security Forces clashed with members of an Islamist militia group in the villages of Monjane (Palma, Cabo Delgado) and Olumbi (coded separately), after the Islamist militia attacked civilians. Dozens of civilians were abducted and at least 5 were killed over two days of fighting. 5 fatalities split in four events.",1,1610409622,MOZ
7453957,508,MZM1996,1996,20201229,2020,1,Battles,Armed clash,Islamist Militia (Mozambique),,3,Military Forces of Mozambique (1990-),,1,13,Eastern Africa,Mozambique,Cabo Delgado,Palma,Palma,Monjane,-10.9027,40.4921,2,Cabo Ligado; Carta de Mocambique,Local partner-Other,"On 29 December 2020, a group of Islamist militia clashed with Mozambican Defense and Security Forces on the road of Monjane (Palma, Cabo Delgado) north to Patacua. The Islamist militia ambushed a military convoy, two soldiers and one member of the Islamist militia group were killed.",3,1610409622,MOZ
7453958,508,MZM1997,1997,20201229,2020,1,Battles,Armed clash,Islamist Militia (Mozambique),,3,Military Forces of Mozambique (1990-),,1,13,Eastern Africa,Mozambique,Cabo Delgado,Palma,Olumbi,Olumbi,-10.9931,40.4739,1,Club Mozambique; Cabo Ligado; Carta de Mocambique; Zitamar,Local partner-Other,"On 29 December 2020, Mozambican Defense and Security Forces clashed with members of an Islamist militia group in the villages of Olumbi (Palma, Cabo Delgado) and Monjane (coded separately), after the Islamist militia attacked civilians. Dozens of civilians were abducted and at least 5 were killed over two days of fighting. 5 fatalities split in four events.",2,1610409622,MOZ
7454485,508,MZM1998,1998,20201229,2020,1,Violence against civilians,Abduction/forced disappearance,Police Forces of Mozambique (1990-),Military Forces of Mozambique (1990-),1,Civilians (Mozambique),,7,17,Eastern Africa,Mozambique,Manica,Sussundenga,Muoha,Sussundenga,-19.2753,33.1519,1,Carta de Mocambique,National,"On 29 December 2020, Mozambican security forces abducted two men in Sussundenga (Sussundenga, Manica). The two men are members of the family Chingoma.",0,1610409631,MOZ
7453954,508,MZM1993,1993,20201228,2020,1,Battles,Armed clash,Islamist Militia (Mozambique),,3,Military Forces of Mozambique (1990-),,1,13,Eastern Africa,Mozambique,Cabo Delgado,Palma,Palma,Monjane,-10.9027,40.4921,1,VOA; Cabo Ligado; Club Mozambique,Local partner-Other,"On 28 December 2020, Mozambican Defense and Security Forces clashed with members of an Islamist militia group in the villages of Monjane (Palma, Cabo Delgado) and Olumbi (coded separately), after the Islamist militia attacked civilians. Dozens of civilians were abducted and at least 5 were killed over two days of fighting. 5 fatalities split in four events.",1,1610409622,MOZ
7453955,508,MZM1994,1994,20201228,2020,1,Battles,Armed clash,Islamist Militia (Mozambique),,3,Military Forces of Mozambique (1990-),,1,13,Eastern Africa,Mozambique,Cabo Delgado,Palma,Olumbi,Olumbi,-10.9931,40.4739,1,VOA; Cabo Ligado; Club Mozambique,Local partner-Other,"On 28 December 2020, Mozambican Defense and Security Forces clashed with members of an Islamist militia group in the villages of Olumbi (Palma, Cabo Delgado) and Monjane (coded separately), after the Islamist militia attacked civilians. Dozens of civilians were abducted and at least 5 were killed over two days of fighting. 5 fatalities split in four events.",1,1610409622,MOZ
7453968,508,MZM2020,2020,20201226,2020,1,Violence against civilians,Attack,Islamist Militia (Mozambique),,3,Civilians (Mozambique),,7,37,Eastern Africa,Mozambique,Cabo Delgado,Muidumbe,Chitunde,Magaia,-11.6558,39.9372,1,Cabo Ligado; Club Mozambique,Local partner-Other,"On 26 December 2020, Islamist militia attacked civilians in Magaia (Muidumbe, Cabo Delgado). 5 civilians were killed.",5,1610409622,MOZ
7453967,508,MZM2019,2019,20201223,2020,1,Battles,Armed clash,Islamist Militia (Mozambique),,3,Military Forces of Mozambique (1990-),,1,13,Eastern Africa,Mozambique,Cabo Delgado,Palma,Olumbi,Muti,-10.9867,40.3878,1,Club Mozambique; Cabo Ligado,Local partner-Other,"On 23 December 2020, members of an Islamist militia clashed with Mozambican Defense and Security Forces in Muti (Palma, Cabo Delgado). Houses were destroyed and food seized. Mozambican forces killed at least four members of the Islamist militia and seized six firearms.",4,1610409622,MOZ
7454483,508,MZM2018,2018,20201220,2020,1,Violence against civilians,Attack,Military Forces of Mozambique (1990-),,1,Civilians (Mozambique),,7,17,Eastern Africa,Mozambique,Cabo Delgado,Metuge,Metuge,Metuge,-12.9713,40.3963,1,Carta de Mocambique,National,"On 20 December 2020, members of the Mozambican Defense and Security Forces tried to steal money from a man in Metuge (Metuge, Cabo Delgado). The soldiers also assaulted the father of the man.",0,1610409631,MOZ
7453965,508,MZM2016,2016,20201216,2020,1,Battles,Armed clash,Islamist Militia (Mozambique),,3,Mueda Communal Militia (Mozambique),,4,34,Eastern Africa,Mozambique,Cabo Delgado,Muidumbe,Muidumbe,Namacande,-11.7878,39.9144,2,Pinnacle News; Cabo Ligado,Local partner-Other,"On 16 December 2020, communal militia from Mueda clashed with a group of Islamist militia in the area of Namacande (Muidumbe, Cabo Delgado). No fatalities and/or injuries reported",0,1610409622,MOZ
7453966,508,MZM2017,2017,20201216,2020,1,Violence against civilians,Attack,Islamist Militia (Mozambique),,3,Civilians (Mozambique),Labour Group (Mozambique),7,37,Eastern Africa,Mozambique,Cabo Delgado,Nangade,Nangade,Nangade,-11.0772,39.6744,2,Cabo Ligado; VOA,Local partner-Other,"On 16 December 2020, a group of Islamist militia destroyed five vehicles, including a minibus, two mobile phone company vehicles and a passenger and cargo vehicle south of the district of Nangade (Nangade, Cabo Delgado), on the road linking Nangade to Mueda. The vehicles were destroyed by fire.",0,1610409622,MOZ
7455306,508,MZM2015,2015,20201216,2020,2,Violence against civilians,Attack,Islamist Militia (Mozambique),,3,Civilians (Mozambique),,7,37,Eastern Africa,Mozambique,Cabo Delgado,Macomia,Chai,Chai,-11.9319,40.1103,2,Pinnacle News,Regional,"Around 16 December 2020 (week of), a group of at least 8 Islamist militia attacked and beheaded civilians in the woods near Chai (Macomia, Cabo Delgado), after looting food. At least 12 civilians were killed.",12,1610409641,MOZ
7453962,508,MZM2008,2008,20201215,2020,1,Battles,Armed clash,Islamist Militia (Mozambique),,3,Military Forces of Mozambique (1990-),,1,13,Eastern Africa,Mozambique,Cabo Delgado,Mocimboa Da Praia,Mocimboa Da Praia,Awasse,-11.5096,40.0314,1,Carta de Mocambique; Pinnacle News,National-Regional,"On 15 December 2020, a group of Islamist militia clashed with the Mozambican Government Security Forces in Awasse (Mocimboa da Praia, Cabo Delgado). At least 24 members of the Islamist militia group and 6 soldiers were killed. 16 soldiers were injured.",30,1610409622,MOZ
7453963,508,MZM2009,2009,20201215,2020,2,Violence against civilians,Attack,Islamist Militia (Mozambique),,3,Civilians (Mozambique),,7,37,Eastern Africa,Mozambique,Cabo Delgado,Nangade,Nangade,Litingina,-11.1556,39.6625,1,VOA; Pinnacle News,Regional-International,"Around 15 December 2020 (between 15 - 16 December), a group of Islamist militia attacked civilians in the village of Litingina (Nangade, Cabo Delgado). The group also attacked the following villages in the district of Nangade: Nkonga (coded separately), Machava (coded separately), and Samora Machel (coded separately). The district of Palma and the district of Nangade (coded separately) was also attacked. At least 10 people were killed. Fatalities split between 6 events.",1,1610409622,MOZ
