data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
7458367,104,MMR10914,10914,20201231,2020,1,Protests,Peaceful protest,Protesters (Myanmar),,6,,,0,60,Southeast Asia,Myanmar,Sagaing,Hkamti,Hkamti,Hkamti,25.8559,95.7059,1,Democratic Voice of Burma,National,"On 31 December 2020, in Hkamti town (Hkamti Township, Hkamti District, Sagaing Region), about 30 people rallied to showcase their support for Myanmar military. The supporters stated that the Myanmar military is the protector of people's lives and properties. [size=about 30]",0,1610469092,MMR
7458723,104,MMR10931,10931,20201231,2020,1,Battles,Armed clash,PSLF/TNLA: Palaung State Liberation Front/Ta'ang National Liberation Army,,2,RCSS/SSA-S: Restoration Council of Shan State/Shan State Army-South,,2,22,Southeast Asia,Myanmar,Shan,Kyaukme,Hsipaw,Hsipaw,22.6166,97.3003,2,Shwe Phee Myay News Agency,Subnational,"On 31 December 2020, in Hsipaw Township (Kyaukme District, Shan State), TNLA and RCSS clashed. Casualties unknown.",0,1610469098,MMR
7458729,104,MMR10916,10916,20201231,2020,1,Battles,Armed clash,PSLF/TNLA: Palaung State Liberation Front/Ta'ang National Liberation Army,,2,RCSS/SSA-S: Restoration Council of Shan State/Shan State Army-South,,2,22,Southeast Asia,Myanmar,Shan,Kyaukme,Kyaukme,Kyaukme,22.5392,97.0343,2,Shwe Phee Myay News Agency,Subnational,"On 31 December 2020, around Tawt San village tract (Kyaukme Township, Kyaukme District, Shan State), TNLA and RCSS clashed. The fighting between TNLA and RCSS in Kyaukme Township had displaced more than 800 villagers since 27 December. Casualties unknown.",0,1610469098,MMR
7458406,104,MMR10912,10912,20201230,2020,1,Protests,Peaceful protest,Protesters (Myanmar),USDP: Union Solidarity and Development Party,6,,,0,60,Southeast Asia,Myanmar,Mon,Mawlamyine,Mawlamyine,Mawlamyine,16.4563,97.6469,1,Independent Mon News Agency,Subnational,"On 30 December 2020, in Mawlamyine city (Mawlamyine Township, Mawlamyine District, Mon State), about 30 USDP supporters demonstrated against UEC for alleged electoral frauds. It was the fourth demonstration against UEC in Mon State in December 2020. [size=about 30]",0,1610469093,MMR
7458423,104,MMR10909,10909,20201230,2020,1,Protests,Peaceful protest,Protesters (Myanmar),,6,,,0,60,Southeast Asia,Myanmar,Kayin,Hpapun,Hpapun,Hpapun,18.065,97.4449,2,Karen Information Center News,Subnational,"On 30 December 2020, in Day Pu Do village area (Hpapun Township, Hpapun District, Kayin State), 5,721 villagers from different villages gathered and demonstrated against Myanmar military road construction project in the area. Demonstrators also demanded Myanmar military withdraw from their bases in the area. 1,097 villagers from different villages also demonstrated in Htee Haw Hta village area (Hpapun Township, Hpapun District, Kayin State) with the same demands. Location coded as Hpapun. [size=6,818]",0,1610469093,MMR
7458425,104,MMR10908,10908,20201230,2020,1,Protests,Peaceful protest,Protesters (Myanmar),,6,,,0,60,Southeast Asia,Myanmar,Kayin,Hpapun,Hpapun,Naw Yo Hta,18.5634,97.1108,1,Karen Information Center News,Subnational,"On 30 December 2020, in Naw Yo Hta village area (Hpapun Township, Hpapun District, Kayin State), 3,981 villagers from different villages gathered and demonstrated against Myanmar military road construction project in the area. Demonstrators also demanded Myanmar military withdraw from their bases in the area. [size=3,981].",0,1610469093,MMR
7458714,104,MMR10925,10925,20201230,2020,1,Protests,Peaceful protest,Protesters (Myanmar),Farmers (Myanmar),6,,,0,60,Southeast Asia,Myanmar,Shan,Taunggyi,Nyaungshwe,Nyaungshwe,20.6595,96.932,1,Shan Herald Agency for News,Subnational,"On 30 December 2020, in Nyaungshwe town (Nyaungshwe Township, Taunggyi District, Shan State), farmers demonstrated to demand the government to resolve the five-year land dispute in Inn Lay. Farmers accused Aureum Place Hotel of building a road on the farms and cutting down palm trees which farmers had been cultivating for many years. [size= no report]",0,1610469098,MMR
7458725,104,MMR10891,10891,20201230,2020,1,Battles,Armed clash,PSLF/TNLA: Palaung State Liberation Front/Ta'ang National Liberation Army,,2,RCSS/SSA-S: Restoration Council of Shan State/Shan State Army-South,,2,22,Southeast Asia,Myanmar,Shan,Kyaukme,Hsipaw,Hsipaw,22.6166,97.3003,2,Shwe Phee Myay News Agency,Subnational,"On 30 December 2020, near Ngun Hseng village (Hsipaw Township, Kyaukme District, Shan State), TNLA and RCSS clashed. Casualties unknown. Location coded as Hsipaw.",0,1610469098,MMR
7458255,104,MMR10907,10907,20201230,2020,1,Battles,Armed clash,PSLF/TNLA: Palaung State Liberation Front/Ta'ang National Liberation Army,,2,RCSS/SSA-S: Restoration Council of Shan State/Shan State Army-South,,2,22,Southeast Asia,Myanmar,Shan,Kyaukme,Kyaukme,Loi An,22.481,96.8841,2,7Day News,National,"On 30 December 2020, around Loi An village tract (Kyaukme Township, Kyaukme District, Shan State), TNLA and RCSS clashed. Casualties unknown. Another clash was reported near Tawt Sang.",0,1610469090,MMR
7458256,104,MMR10924,10924,20201230,2020,1,Battles,Armed clash,Military Forces of Myanmar (2016-),,1,NA-B: Northern Alliance,,2,12,Southeast Asia,Myanmar,Shan,Kyaukme,Namtu,Man San,22.9327,97.426,2,7Day News,National,"On 30 December 2020, on Mandalay-Muse Pyidaungsu Road near Man San village (Namtu Township, Kyaukme District, Shan State), Myanmar military and Northern Alliance group clashed. The clash happened while the Northern Alliance group were collecting taxes. However, the Northern Alliance group hasn't provided any information on the clash. Casualties unknown. Location coded as Man San.",0,1610469090,MMR
