data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
7460713,524,NEP9007,9007,20201231,2020,2,Protests,Peaceful protest,Protesters (Nepal),,6,,,0,60,South Asia,Nepal,Mid-Western,Karnali,Dolpa,Thuli Bheri,28.9569,82.8566,1,Annapurna Post,National,"Around 31 December 2020 (as reported), locals protested by blocking the road at Hun village of Thuli Bheri municipality-5 (Dolpa district), expressing dissatisfaction with the authorities for not following the design estimate developed by the technician, while carrying out the road construction work in the area. [size=no report]",0,1610484566,NPL
7460715,524,NEP9006,9006,20201231,2020,2,Protests,Peaceful protest,Protesters (Nepal),,6,,,0,60,South Asia,Nepal,East,Koshi,Dhankuta,Dhankuta,26.9801,87.3453,1,Annapurna Post,National,"Around 31 December 2020 (as reported), locals, including family and relatives of a deceased army official, staged a sit-in protest at the eastern army barrack in Dhankuta town (Dhankuta district). The protesters were demanding justice for the death of the official, who the protesters claimed was killed by a colleague inside the barrack. [size=no report]",0,1610484566,NPL
7460665,524,NEP9003,9003,20201229,2020,1,Protests,Peaceful protest,Protesters (Nepal),NCP: Nepal Communist Party,6,,,0,60,South Asia,Nepal,Central,Narayani,Rautahat,Gaur,26.7645,85.2784,1,Himalayan Times; Yougbodh,National,"On 29 December 2020, scores of leaders and cadres close to Dahal-Nepal faction of NCP staged a demonstration rally in Gaur city (Rautahat District), against the dissolution of the parliament by Prime Minister Oli. [size=scores]",0,1610484565,NPL
7460666,524,NEP9005,9005,20201229,2020,1,Protests,Peaceful protest,Protesters (Nepal),NCP: Nepal Communist Party,6,,,0,60,South Asia,Nepal,Central,Bagmati,Kathmandu,Kathmandu,27.7017,85.3206,1,Kathmandu Post; Rising Nepal; Himalayan Times; My Republica (Nepal),National,"On 29 December 2020, leaders and cadres close to Dahal-Nepal faction of NCP staged a demonstration rally in Kathmandu city (Kathmandu District), against the dissolution of the parliament by Prime Minister Oli. [size=no report]",0,1610484565,NPL
7461735,524,NEP9004,9004,20201229,2020,2,Protests,Peaceful protest,Protesters (Nepal),,6,,,0,60,South Asia,Nepal,Central,Janakpur,Sindhuli,Golanjor,27.2615,86.0589,1,Kathmandu Post,National,"Around 29 December 2020 (as reported), locals protested by obstructing the road construction work at Khaniyakharka section of BP Highway in Golanjor rural municipality (Sindhuli district). The protest was against the road improvement work along the BP Highway, as the protesters claimed that the work estimate and design of the road project are faulty. [size=no report]",0,1610484581,NPL
7460608,524,NEP8946,8946,20201228,2020,1,Protests,Peaceful protest,Protesters (Nepal),NC: Nepali Congress,6,,,0,60,South Asia,Nepal,Central,Narayani,Rautahat,Paroha,26.8509,85.2339,1,Prateek Daily; My Republica (Nepal),National,"On 28 December 2020, cadres and leaders of Nepali Congress staged a protest rally in Paroha city (Rautahat District), against the dissolution of the parliament by Prime Minister Oli. [size=no report]",0,1610484562,NPL
7460609,524,NEP8947,8947,20201228,2020,1,Protests,Peaceful protest,Protesters (Nepal),NC: Nepali Congress,6,,,0,60,South Asia,Nepal,Central,Narayani,Parsa,Pokhariya,27.0804,84.7603,1,Prateek Daily; My Republica (Nepal),National,"On 28 December 2020, cadres and leaders of Nepali Congress staged a protest rally in Pokhariya municipality (Parsa District), against the dissolution of the parliament by Prime Minister Oli. [size=no report]",0,1610484562,NPL
7460610,524,NEP8948,8948,20201228,2020,1,Protests,Peaceful protest,Protesters (Nepal),NC: Nepali Congress,6,,,0,60,South Asia,Nepal,Central,Narayani,Rautahat,Rajpur Pharhadawa,26.8301,85.2378,2,My Republica (Nepal); Prateek Daily,National,"On 28 December 2020, cadres and leaders of Nepali Congress staged a protest rally in Rajpur municipality near Rajpur Pharhadawa area (Rautahat District), against the dissolution of the parliament by Prime Minister Oli. [size=no report]",0,1610484562,NPL
7460611,524,NEP8949,8949,20201228,2020,1,Protests,Peaceful protest,Protesters (Nepal),NC: Nepali Congress,6,,,0,60,South Asia,Nepal,Central,Narayani,Rautahat,Samanpur,26.9668,85.3867,1,Prateek Daily; My Republica (Nepal),National,"On 28 December 2020, cadres and leaders of Nepali Congress staged a protest rally in Samanpur city (Rautahat District), against the dissolution of the parliament by Prime Minister Oli. [size=no report]",0,1610484563,NPL
7460612,524,NEP8950,8950,20201228,2020,1,Protests,Peaceful protest,Protesters (Nepal),NC: Nepali Congress,6,,,0,60,South Asia,Nepal,Central,Narayani,Bara,Simraungadh,26.8896,85.1344,1,My Republica (Nepal); Prateek Daily,National,"On 28 December 2020, cadres and leaders of Nepali Congress staged a protest rally in Simraungadh municipality (Bara District), against the dissolution of the parliament by Prime Minister Oli. [size=no report]",0,1610484563,NPL
