data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
7454045,562,NIR1655,1655,31-Dec-20,2020,1,Battles,Armed clash,Islamic State (West Africa) and/or Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,2,Military Forces of Niger (2011-),MNJTF: Multinational Joint Task Force,1,12,Western Africa,Niger,Diffa,Diffa,Diffa,Ngagam,13.5631,12.8587,2,Twitter; Facebook; Jeunesse Diffa; Whatsapp,New media,"On 31 December 2020, suspected ISWAP or Boko Haram (JAS) militants ambushed a group of soldiers of the Nigerien MNJTF contingent near Ngagam (Diffa, Diffa). Eleven soldiers were wounded. MNJTF said that several militants were ''neutralized''.",0,1610409624,NER
7455213,562,NIR1654,1654,31-Dec-20,2020,1,Battles,Armed clash,Islamic State (West Africa),,2,Military Forces of Niger (2011-),,1,12,Western Africa,Niger,Diffa,Diffa,Chetimari,Gagamari,13.2052,12.4193,2,Nashir,New media,"On 31 December 2020, ISWAP claimed to have ambushed Nigerien forces near Gagamari (Diffa, Diffa). One soldier was killed and others wounded according to the statement. The information could not be independently verified.",0,1610409640,NER
7455815,562,NIR1653,1653,30-Dec-20,2020,1,Violence against civilians,Attack,Djerma Ethnic Militia (Niger),,4,Civilians (Niger),Fulani Ethnic Group (Niger); Pastoralists (Niger),7,47,Western Africa,Niger,Tillaberi,Ouallam,Tondikiwindi,Zerma Dare,14.9061,1.7771,1,Undisclosed Source,Local partner-Other,"On 30 December 2020, members from the Djerma community killed five Fulani pastoralist male civilians in Zerma Dare (Ouallam, Tillaberi).",5,1610409646,NER
7454044,562,NIR1649,1649,27-Dec-20,2020,1,Battles,Armed clash,Arab Ethnic Militia (Niger),,4,Fulani Ethnic Militia (Niger),Pastoralists (Niger),4,44,Western Africa,Niger,Tahoua,Tillia,Tillia,Egareck,16.5242,4.6395,1,Menastream; Whatsapp; Azawad News,Local partner-New media,"On 27 December 2020, Arab militiamen and Fulani gunmen clashed in Egareck (Tchintabaraden, Tahoua). Three Fulani men were reportedly killed and two captured.",3,1610409624,NER
7455940,562,NIR1648,1648,27-Dec-20,2020,1,Violence against civilians,Attack,JNIM: Group for Support of Islam and Muslims,,2,Civilians (Niger),Government of Niger (2011-),7,27,Western Africa,Niger,Tillaberi,Torodi,Torodi,Bossey Bangou,13.3461,1.2918,2,Whatsapp,New media,"On 27 December 2020, presumed JNIM militants opened fire against a vehicle of the Ministry of Agriculture in the area of Bossey Bangou (Torodi, Tillaberi). Several people were reportedly wounded.",0,1610409647,NER
7455962,562,NIR1652,1652,27-Dec-20,2020,1,Strategic developments,Looting/property destruction,Unidentified Armed Group (Niger),,3,Civilians (Niger),Government of Niger (2011-),7,37,Western Africa,Niger,Tillaberi,Say,Ouro Gueladjo,Tchelol Bolol,12.6471,1.7983,1,Whatsapp,New media,"Property destruction: On 27 December 2020, unknown gunmen attacked the village of Tchelol Bolol (Say, Tillaberi). The gunmen burned three polling stations.",0,1610409647,NER
7455972,562,NIR1647,1647,27-Dec-20,2020,1,Explosions/Remote violence,Remote explosive/landmine/IED,JNIM: Group for Support of Islam and Muslims and/or Islamic State (Greater Sahara),,2,Military Forces of Niger (2011-),,1,12,Western Africa,Niger,Tillaberi,Torodi,Torodi,Alareini,13.3164,1.6493,2,Whatsapp,New media,"On 27 December 2020, a Nigerien army vehicle struck an IED near Alareini (Torodi, Tillaberi). No casualties were reported. The device was likely planted by JNIM or ISGS militants.",0,1610409647,NER
7455987,562,NIR1650,1650,27-Dec-20,2020,1,Violence against civilians,Attack,JNIM: Group for Support of Islam and Muslims and/or Islamic State (Greater Sahara),,2,Civilians (Niger),Labour Group (Niger),7,27,Western Africa,Niger,Tillaberi,Torodi,Makalondi,Makalondi,12.8375,1.6912,2,Whatsapp,New media,"On 27 December 2020, presumed JNIM or ISGS militants attacked two communal transport vehicles between Makalondi (Torodi, Tillaberi), in Niger, and Kantchari (Kantchari, Tapoa), in Burkina Faso. The militants reportedly seized the vehicles. Casualties unknown",0,1610409647,NER
7455990,562,NIR1651,1651,27-Dec-20,2020,1,Violence against civilians,Abduction/forced disappearance,Unidentified Armed Group (Niger),,3,Civilians (Niger),Labour Group (Niger),7,37,Western Africa,Niger,Tillaberi,Say,Ouro Gueladjo,Ouro Bambale,12.7,1.8167,1,Whatsapp,New media,"On 27 December 2020, unknown gunmen abducted a village chief's younger brother who worked as an elections official and his driver in the village of Ouro Bambale (Say, Tillaberi).",0,1610409647,NER
7454043,562,NIR1646,1646,26-Dec-20,2020,1,Explosions/Remote violence,Shelling/artillery/missile attack,Islamic State (West Africa),,2,Military Forces of Niger (2011-),,1,12,Western Africa,Niger,Diffa,Diffa,Diffa,Diffa,13.32,12.61,2,Nashir; Al Nabaa; Whatsapp,New media,"On 26 December 2020, ISWAP fired 3 grad rockets against Nigerien army barracks east of Diffa (Diffa, Diffa). No casualties were reported.",0,1610409624,NER
