data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
7454783,566,NIG19390,19390,20201231,2020,1,Protests,Peaceful protest,Protesters (Nigeria),Women (Nigeria); Catholic Christian Group (Nigeria),6,,,0,60,Western Africa,Nigeria,Imo,Owerri-Municipal,,Owerri,5.4833,7.0304,1,Guardian (Nigeria),National,"On 31 December 2020, scores of members of the Catholic Women Organization staged protest marches on major roads and at the Government House in Owerri (Owerri-Municipal LGA, Imo) to demand the immediate release of the auxiliary Bishop of Owerri Archdiocese. [size=scores]",0,1610409635,NGA
7454027,566,NIG19385,19385,20201231,2020,1,Protests,Protest with intervention,Protesters (Nigeria),CORE: Coalition for Revolution,6,Police Forces of Nigeria (2015-),,1,16,Western Africa,Nigeria,Federal Capital Territory,Abuja Municipal,,Abuja,9.0833,7.5333,1,Daily Post (Nigeria); Sahara Reporters; Daily Independent (Nigeria),National-Regional,"On 31 December 2020, supporters of the Coalition for Revolution demonstrated in Abuja (Abuja Municipal LGA, FCT) against bad governance and insecurity in support of the #RevolutionNow Movement. Police forces arrested at least five demonstrators and assaulted two others. [size=no report]",0,1610409623,NGA
7454555,566,NIG19391,19391,20201231,2020,1,Battles,Armed clash,Military Forces of Nigeria (2015-),,1,Zamfara Communal Militia (Nigeria),,4,14,Western Africa,Nigeria,Zamfara,Zurmi,,Zurmi,12.7776,6.7834,2,Daily Independent (Nigeria),National,"On 31 December 2020, Nigerian military troops clashed with a Zamfara communal militia around Gidan Dan Nunu and Dutsi villages in Zurmi LGA (Zamfara), rescuing seven kidnapped victims. No reported fatalities.",0,1610409632,NGA
7454556,566,NIG19387,19387,20201231,2020,1,Battles,Armed clash,Military Forces of Nigeria (2015-),,1,Katsina Communal Militia (Nigeria),,4,14,Western Africa,Nigeria,Katsina,Batsari,,Batsari,12.7515,7.2447,2,Daily Independent (Nigeria),National,"On 31 December 2020, Nigerian military troops clashed with Katsina communal militias along Batsari-Jibia Road and at Kimbisawa village (Batsari LGA, Katsina) after receiving a distress call about their kidnapping activities, rescuing two women and a child. During fighting along the Batsari-Jibia road, one militiaman was killed and others injured.",1,1610409632,NGA
7454558,566,NIG19386,19386,20201231,2020,1,Battles,Armed clash,Military Forces of Nigeria (2015-),,1,Katsina Communal Militia (Nigeria),,4,14,Western Africa,Nigeria,Katsina,Batsari,,Batsari,12.7515,7.2447,2,Daily Independent (Nigeria),National,"On 31 December 2020, Nigerian military troops clashed with Katsina communal militia at Kimbisawa village (Batsari LGA, Katsina) after receiving a distress call about their kidnapping activities, rescuing two women and a child. No reported fatalities.",0,1610409632,NGA
7454623,566,NIG19389,19389,20201231,2020,1,Riots,Violent demonstration,Rioters (Nigeria),,5,,,0,50,Western Africa,Nigeria,Ogun,Egbado South,,Oke Odan,6.7,2.9,1,Daily Post (Nigeria),National,"On 31 December 2020, youth demonstrators set up bonfires and blocked the International Road in Oke Odan (Egbado South LGA, Ogun) over the killing of another youth by Nigeria Customs Service operatives. [size=no report]",0,1610409633,NGA
7454651,566,NIG19388,19388,20201231,2020,1,Protests,Peaceful protest,Protesters (Nigeria),Women (Nigeria),6,,,0,60,Western Africa,Nigeria,Kano,Kano Municipal,,Kano,12,8.5167,1,Daily Trust (Nigeria),National,"On 31 December 2020, many women, whose children have been abducted in Kano, staged demonstrations at the Public Complaint Commission and the Ministry of Women Affairs in Kano (Kano Municipal LGA, Kano) to protest the nonchalant attitudes of authorities to ensure their children's return. [size=many]",0,1610409633,NGA
7455238,566,NIG19382,19382,20201230,2020,1,Protests,Peaceful protest,Protesters (Nigeria),Labour Group (Nigeria),6,,,0,60,Western Africa,Nigeria,Rivers,Obia/Akpor,,Oginigba,4.856,7.012,1,New Telegraph,National,"On 30 December 2020, youths from Oginigba staged a demonstration in front of the Halliburton office in Oginigba (Obia/Akpor LGA, Rivers) to protest the dismissal of some of the firm's workers who were indigenes of the community. [size=no report]",0,1610409640,NGA
7455503,566,NIG19375,19375,20201230,2020,1,Protests,Peaceful protest,Protesters (Nigeria),Labour Group (Nigeria),6,,,0,60,Western Africa,Nigeria,Kwara,Ilorin East,,Illorin,8.5,4.55,1,Sahara Reporters,Regional,"On 30 December 2020, scores of staff members of the Kwara State Universal Basic Education Board staged a demonstration at the Government House in Ilorin (Ilorin East LGA, Kwara) to protest the termination of their appointments by the state government. [size=scores]",0,1610409643,NGA
7455277,566,NIG19381,19381,20201230,2020,1,Protests,Peaceful protest,Protesters (Nigeria),,6,,,0,60,Western Africa,Nigeria,Enugu,Enugu South,,Obeagu Awkunanaw,6.3795,7.4894,1,Nigeria Punch,National,"On 30 December 2020, hundreds of locals of Obeagu Awkunanaw staged a demonstration at the site of the demolished community civic center in Obeagu Awkunanaw (Enugu South, Enugu) to protest against the demolition of the community's civic center under construction. [size=hundreds]",0,1610409640,NGA
