data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
7458203,608,PHL11556,11556,20201231,2020,1,Violence against civilians,Attack,Police Forces of the Philippines (2016-),,1,Civilians (Nigeria),Drug Suspects (Nigeria),7,17,Southeast Asia,Philippines,Central Luzon,Tarlac,Concepcion,Dutung-A-Matas,15.3374,120.6224,1,GMA News; Philippine News Agency; Philippine Daily Inquirer,National,"On 31 December 2020, a Nigerian drug suspect was killed during a police raid in Barangay Dutung-A-Matas (Concepcion, Tarlac, Central Luzon) (identified as Barangay Jefmin in reports). Police said that they recovered shabu (crystal meth) from the slain suspect, who police said to be part of the West African drug syndicate.",1,1610469089,PHL
7458204,608,PHL11558,11558,20201231,2020,1,Protests,Peaceful protest,Protesters (Philippines),,6,,,0,60,Southeast Asia,Philippines,National Capital Region,Metro Manila,Quezon City,Quezon City,14.6488,121.0509,1,Philippine Daily Inquirer; Twitter,New media-National,"On 31 December 2020, activists staged a demonstration at the Commission on Human Rights grounds in Quezon City (Metro Manila, National Capital Region), in order to condemn the killing of 9 Tumandok farmers in Capiz and 1 peasant activist in Bohol on 30 December 2020. [size=no report]",0,1610469089,PHL
7458258,608,PHL11557,11557,20201231,2020,2,Violence against civilians,Attack,Police Forces of the Philippines (2016-),,1,Civilians (Philippines),Drug Suspects (Philippines),7,17,Southeast Asia,Philippines,Calabarzon,Laguna,Santa Rosa,Santa Rosa,14.3122,121.1113,1,ABS CBN,National,"Around 31 December 2020 (as reported), a drug suspect was killed during a police raid in Barangay Caingin, Santa Rosa (Laguna, Calabarzon).",1,1610469090,PHL
7458568,608,PHL11527,11527,20201230,2020,1,Battles,Armed clash,NPA: New People's Army,,2,Military Forces of the Philippines (2016-),,1,12,Southeast Asia,Philippines,Caraga,Agusan del Norte,Butuan,Butuan,8.9491,125.5436,1,Philippine News Agency,National,"On 30 December 2020, a suspected NPA militant was killed in a 5-minute firefight between the NPA and the military in Barangay Tungao, Butuan (Agusan del Norte, Caraga). The military reported no casualties on their side and said it retrieved weapons and other items from the rebels.",1,1610469096,PHL
7458196,608,PHL11547,11547,20201230,2020,1,Violence against civilians,Attack,Police Forces of the Philippines (2016-),,1,Civilians (Philippines),Tumandok Tribal Group (Philippines); Farmers (Philippines),7,17,Southeast Asia,Philippines,Western Visayas,Capiz,Tapaz,Acuna,11.2276,122.4708,1,GMA News; Philippine Daily Inquirer; Bulatlat; Panay News; ABS CBN,Subnational-National,"On 30 December 2020, a farmer belonging to the indigenous Tumandok tribal group - accused by the police of being an NPA militant - was shot dead in a police operation in Barangay Acuna (Tapaz, Capiz, Western Visayas). The Tumandok farmer was reportedly a member of red-tagged local farmer association Tumandok nga Mangunguma nga Nagapangapin sa Duta kag Kinabuhi (TUMANDUK), which opposes the construction of a dam in the area. Farmers' and human rights groups condemned the killing, which was one of 9 such killings of Tumandok farmers in different barangays of Tapaz town that same day (events coded separately), carried out by the police alongside arrests.",1,1610469089,PHL
7458197,608,PHL11548,11548,20201230,2020,1,Violence against civilians,Attack,Police Forces of the Philippines (2016-),,1,Civilians (Philippines),Tumandok Tribal Group (Philippines); Farmers (Philippines),7,17,Southeast Asia,Philippines,Western Visayas,Capiz,Tapaz,Aglinab,11.2229,122.4889,1,GMA News; Bulatlat; ABS CBN; Philippine Daily Inquirer; Panay News,Subnational-National,"On 30 December 2020, a farmer belonging to the indigenous Tumandok tribal group - accused by the police of being an NPA militant - was shot dead in a police operation in Barangay Aglinab (Tapaz, Capiz, Western Visayas). The Tumandok farmer was reportedly a member of red-tagged local farmer association Tumandok nga Mangunguma nga Nagapangapin sa Duta kag Kinabuhi (TUMANDUK), which opposes the construction of a dam in the area. Farmers' and human rights groups condemned the killing, which was one of 9 such killings of Tumandok farmers in different barangays of Tapaz town that same day (events coded separately), carried out by the police alongside arrests.",1,1610469089,PHL
7458198,608,PHL11549,11549,20201230,2020,1,Violence against civilians,Attack,Police Forces of the Philippines (2016-),,1,Civilians (Philippines),Tumandok Tribal Group (Philippines); Farmers (Philippines),7,17,Southeast Asia,Philippines,Western Visayas,Capiz,Tapaz,Da-an Sur,11.2629,122.439,1,ABS CBN; Panay News; Bulatlat; Philippine Daily Inquirer; GMA News,Subnational-National,"On 30 December 2020, a farmer belonging to the indigenous Tumandok tribal group - accused by the police of being an NPA militant - was shot dead in a police operation in Barangay Da-an Sur (Tapaz, Capiz, Western Visayas). The Tumandok farmer was reportedly a member of red-tagged local farmer association Tumandok nga Mangunguma nga Nagapangapin sa Duta kag Kinabuhi (TUMANDUK), which opposes the construction of a dam in the area. Farmers' and human rights groups condemned the killing, which was one of 9 such killings of Tumandok farmers in different barangays of Tapaz town that same day (events coded separately), carried out by the police alongside arrests.",1,1610469089,PHL
7458199,608,PHL11550,11550,20201230,2020,1,Violence against civilians,Attack,Unidentified Armed Group (Philippines),,3,Civilians (Philippines),KMP: Kilusang Magbubukid ng Pilipinas; Farmers (Philippines),7,37,Southeast Asia,Philippines,Central Visayas,Bohol,Balilihan,Dorol,9.7709,123.9538,1,Philippine Daily Inquirer; Kodao Productions,National,"On 30 December 2020, a farmer activist was shot dead by unidentified assailants in Barangay Dorol (Balilihan, Bohol, Central Visayas). The slain farmer was a former officer of Hugpong sa Mag-uuma Dapit sa Kasadpan (HUMANDA KA), a grouping of local affiliates of KMP, one of the groups that have often been red-tagged by the military.",1,1610469089,PHL
7458200,608,PHL11551,11551,20201230,2020,1,Violence against civilians,Attack,Police Forces of the Philippines (2016-),,1,Civilians (Philippines),Tumandok Tribal Group (Philippines); Farmers (Philippines),7,17,Southeast Asia,Philippines,Western Visayas,Capiz,Tapaz,Lahug,11.2429,122.463,1,GMA News; Philippine Daily Inquirer; Panay News; Bulatlat; ABS CBN,Subnational-National,"On 30 December 2020, 3 farmers belonging to the indigenous Tumandok tribal group - accused by the police of being NPA militants - were shot dead in a police operation in Barangay Lahug (Tapaz, Capiz, Western Visayas). The Tumandok farmers were reportedly members of red-tagged local farmer association Tumandok nga Mangunguma nga Nagapangapin sa Duta kag Kinabuhi (TUMANDUK), which opposes the construction of a dam in the area. Farmers' and human rights groups condemned the killings, which were part of 9 such killings of Tumandok farmers in different barangays of Tapaz town that same day (events coded separately), carried out by the police alongside arrests.",3,1610469089,PHL
7458201,608,PHL11552,11552,20201230,2020,1,Violence against civilians,Attack,Police Forces of the Philippines (2016-),,1,Civilians (Philippines),Tumandok Tribal Group (Philippines); Farmers (Philippines),7,17,Southeast Asia,Philippines,Western Visayas,Capiz,Tapaz,Nayawan,11.2354,122.4336,1,GMA News; Panay News; Philippine Daily Inquirer; ABS CBN; Bulatlat,Subnational-National,"On 30 December 2020, 2 farmers belonging to the indigenous Tumandok tribal group - accused by the police of being NPA militants - were shot dead in a police operation in Barangay Nayawan (Tapaz, Capiz, Western Visayas). The Tumandok farmers were reportedly members of red-tagged local farmer association Tumandok nga Mangunguma nga Nagapangapin sa Duta kag Kinabuhi (TUMANDUK), which opposes the construction of a dam in the area. Farmers' and human rights groups condemned the killings, which were part of 9 such killings of Tumandok farmers in different barangays of Tapaz town that same day (events coded separately), carried out by the police alongside arrests.",2,1610469089,PHL
