data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
7455841,706,SOM32686,32686,20201231,2020,1,Battles,Armed clash,Al Shabaab,,2,Military Forces of Somalia (2017-),,1,12,Eastern Africa,Somalia,Lower Shabelle,Afgooye,,Almada,2.2187,45.2087,1,Undisclosed Source,Local partner-Other,"On 31 December 2020, Al Shabaab militants threw a hand grenade at a government security forces (SNA) checkpoint in Almada village (Afgooye, Lower Shabelle). The soldiers reacted with gunfire. No fatalities and/or injuries reported.",0,1610409646,SOM
7455401,706,SOM32905,32905,20201231,2020,1,Violence against civilians,Attack,Al Shabaab,,2,Civilians (Somalia),Taxi Drivers (Somalia),7,27,Eastern Africa,Somalia,Gedo,Garbahaarey,,Garbahaarey,3.328,42.2199,2,Radio Kulmiye,National,"On 31 December 2020, Al Shabaab militants attacked a passenger vehicle travelling between Luuq and Garbahaarey town (Garbahaarey, Gedo). At least two civilians were killed and three others injured.",2,1610409642,SOM
7455734,706,SOM32687,32687,20201231,2020,1,Battles,Armed clash,Al Shabaab,,2,Military Forces of Somalia (2017-),,1,12,Eastern Africa,Somalia,Banadir,Daynile,,Mogadishu-Daynile,2.0581,45.3003,1,Undisclosed Source,Local partner-Other,"On 31 December 2020, Al Shabaab militants threw a hand grenade at government security forces (SNA) at a checkpoint the Hanta Dheer village in Mogadishu-Daynile district (Daynile, Banadir). The forces reacted with gunfire after the explosion. No fatalities and/or injuries reported.",0,1610409645,SOM
7454465,706,SOM32899,32899,20201230,2020,1,Battles,Armed clash,Al Shabaab,,2,Military Forces of Somalia (2017-),,1,12,Eastern Africa,Somalia,Bakool,Ceel Barde,,Ceel Barde,4.8282,43.6599,2,Calamada,National,"On 30 December 2020, Al Shabaab militants attacked a government security forces (SNA) convoy passing between Hudur and Ceel Barde town (Ceel Barde, Bakool). Two soldiers were killed.",2,1610409631,SOM
7454475,706,SOM32901,32901,20201230,2020,1,Battles,Armed clash,Al Shabaab,,2,Military Forces of Somalia (2017-),,1,12,Eastern Africa,Somalia,Bay,Diinsoor,,Diinsoor,2.4074,42.9766,1,Calamada,Subnational,"On 30 December 2020, Al Shabaab militants attacked a government security forces (SNA) defensive base in Diinsoor town (Diinsoor, Bay). Reportedly killing four soldiers.",4,1610409631,SOM
7455780,706,SOM32898,32898,20201230,2020,1,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Somalia),,3,Civilians (Somalia),,7,37,Eastern Africa,Somalia,Woqooyi Galbeed,Berbera,,Berbera,10.4396,45.0143,2,Undisclosed Source,Local partner-Other,"On 30 December 2020, an unexploded ordnance (UXO) exploded, killing two boys in the outskirts of Berbera town (Berbera, Woqooyi Galbeed).",2,1610409645,SOM
7455528,706,SOM32904,32904,20201230,2020,1,Battles,Armed clash,Al Shabaab,,2,Military Forces of Somalia (2017-),,1,12,Eastern Africa,Somalia,Banadir,Karan,,Mogadishu-Karan,2.0652,45.39,1,Somali Memo,National,"On 30 December 2020, Al Shabaab militants shot and killed a government soldier (SNA) at the Bullo-Maxaay village in Mogadishu-Karan district (Karan, Banadir).",1,1610409643,SOM
7455546,706,SOM32896,32896,20201230,2020,1,Explosions/Remote violence,Remote explosive/landmine/IED,Al Shabaab,,2,AMISOM: African Union Mission in Somalia (2007-),,8,28,Eastern Africa,Somalia,Lower Shabelle,Afgooye,,Bariirre,2.0476,44.8975,2,Somali Memo,National,"On 30 December 2020, an IED by Al Shabaab militants, targeting AMISOM EOD team in the vicinity of Bariirre village (Afgooye, Lower Shabelle), detonated. Reportedly killing one AMISOM soldier.",1,1610409643,SOM
7455810,706,SOM32900,32900,20201230,2020,1,Battles,Armed clash,Al Shabaab,,2,AMISOM: African Union Mission in Somalia (2007-) (Uganda),,8,28,Eastern Africa,Somalia,Lower Shabelle,Afgooye,,Ceelasha Biyaha,2.0818,45.2099,2,Undisclosed Source,Local partner-Other,"On 30 December 2020, Al Shabaab militants attacked an AMISOM UNDF troops base in Arbacow village near Ceelasha Biyaha village (Afgooye, Lower Shabelle). No fatalities and/or injuries reported.",0,1610409646,SOM
7455367,706,SOM32894,32894,20201230,2020,1,Protests,Peaceful protest,Protesters (Somalia),Women (Somalia),6,,,0,60,Eastern Africa,Somalia,Bay,Baydhaba,,Baidoa,3.1172,43.6469,1,Radio Dalsan,National,"On 30 December 2020, over hundred people, mostly women and youth groups, protested against the attack by the supporters of Banadir region football team against the Southwest state football team after the match played in Mogadishu. The protesters demanded respect and justice for the injured players in Baidoa town (Baydhaba, Bay). [size=over hundred]",0,1610409641,SOM
