data_id,event_date,inter1,inter2
7457026,20210108,2,0
7457028,20210108,2,7
7457029,20210108,2,7
7457036,20210108,2,2
7457043,20210108,3,2
7457045,20210108,3,3
7457051,20210108,1,2
7457052,20210108,1,2
7457062,20210108,2,7
7457069,20210108,1,2
7456822,20210108,1,2
7457081,20210108,2,1
7456827,20210108,1,2
7456828,20210108,1,2
7456831,20210108,1,2
7457087,20210108,1,0
7457094,20210108,1,0
7457095,20210108,1,2
7457098,20210108,2,2
7457102,20210108,3,7
7457103,20210108,2,0
7456848,20210108,3,2
7457104,20210108,3,2
7457105,20210108,2,0
7456850,20210108,3,2
7456851,20210108,3,2
7456852,20210108,3,2
7456855,20210108,2,7
7456869,20210108,8,0
7456872,20210108,2,3
7456878,20210108,6,0
7456880,20210108,6,0
7456884,20210108,3,7
7456894,20210108,3,2
7456914,20210108,2,7
7456916,20210108,2,0
7456925,20210108,5,0
7456985,20210108,3,0
7457000,20210108,8,2
7457005,20210108,2,8
7457006,20210108,8,0
7457008,20210108,8,0
7457009,20210108,3,1
7457031,20210107,8,0
7457034,20210107,8,2
7457041,20210107,8,8
7457042,20210107,2,1
7457050,20210107,1,2
7457054,20210107,3,7
7457056,20210107,3,7
7457058,20210107,3,7
7457061,20210107,8,0
7457083,20210107,2,0
7457084,20210107,2,0
7457088,20210107,1,0
7457090,20210107,3,3
7457093,20210107,2,1
7457099,20210107,2,0
7456847,20210107,3,2
7456857,20210107,1,7
7456858,20210107,3,7
7456859,20210107,2,7
7456876,20210107,6,0
7456882,20210107,2,3
7456883,20210107,2,1
7456891,20210107,3,2
7456897,20210107,1,2
7456912,20210107,2,2
7456987,20210107,3,7
7456993,20210107,3,2
7456997,20210107,8,0
7456998,20210107,3,3
7457030,20210106,2,1
7457040,20210106,1,2
7457060,20210106,1,0
7457067,20210106,3,7
7457071,20210106,1,0
7457072,20210106,1,0
7457073,20210106,3,0
7456819,20210106,2,7
7457078,20210106,8,0
7457079,20210106,8,2
7456824,20210106,8,3
7456825,20210106,8,1
7456826,20210106,8,1
7456832,20210106,2,2
7456834,20210106,2,3
7457091,20210106,8,2
7456841,20210106,3,1
7456844,20210106,3,2
7457101,20210106,2,0
7457106,20210106,2,0
7457107,20210106,1,0
7456853,20210106,3,3
7456856,20210106,1,7
7456861,20210106,3,7
7456862,20210106,3,7
